BAROUFS,35.859785783836415
BISERAI,39.13242453748783
BOXONNA,232.4186952288218
BANNAIS,47.22200584225901
BILANEZ,42.044790652385586
BRAISEZ,32.41869522882181
BAVERAS,54.77117818889971
BANQUES,32.91820837390458
BOXATES,39.94741966893866
BOISAGE,31.793573515092504
BITUREZ,29.518013631937684
BANDANT,94.31256085686465
BRIMAIT,55.38753651411879
BROYAIS,34.223953261927946
BISTREE,20.703992210321324
BEUGLEZ,98.38558909444986
BANANEZ,89.24926971762414
BAGUELS,31.7682570593963
BICARRE,46.71372930866602
BRASERO,43.648490749756576
BATASSE,49.2570593962999
BOUCLEZ,64.89581304771178
BIBANDE,66.24732229795521
BALAYEE,70.15287244401168
BOSSELA,47.85491723466407
BEANCES,48.16066212268744
BRIEFEE,68.2950340798442
BOUEUSE,58.53456669912366
BASSINA,45.96786757546251
BARONNA,62.24342745861733
BESANTE,35.58714703018501
BRANTES,21.456669912366117
BRAIERA,48.45666991236612
BAQUETA,60.990262901655306
BASSETS,63.26095423563778
BRIFFAI,125.45764362220058
BILLOTS,46.42161635832522
BUZZAIT,79.25608568646544
BAFFIEZ,96.64362220058423
BANCHAT,93.50146056475171
BRUANTS,20.194741966893865
BUTTAIT,91.21129503407984
BAVURES,27.660175267770203
BRUNETS,21.122687439143135
BOUFFAI,106.58325219084713
BROUETS,22.18889970788705
BISONNE,44.47906523855891
BRINGES,27.209347614410905
BARRIRA,90.00876338851022
BEIGNES,39.44985394352483
BILOTAS,23.29016553067186
BERCENT,49.0856864654333
BORTSCH,72.39532619279454
BATTUES,28.839337877312563
BIEVRES,40.78967867575462
BAFFONS,75.42356377799416
BINOCLE,46.241480038948396
BUCCINS,73.04186952288218
BIFACES,47.25803310613437
BONHEUR,51.48393378773125
BISATES,32.49269717624148
BRUINES,16.28821811100292
BERNERA,63.487828627069135
BUFFLON,156.77215189873417
BACLAIT,48.57643622200584
BIZUTEZ,62.85102239532619
BAGUERA,48.372930866601756
BULLENT,59.07010710808179
BRANDON,97.72151898734177
BALLAIT,61.15579357351509
BRIDONS,34.97565725413827
BOUDANT,50.28529698149951
BOTTELE,53.56669912366115
BOURRAT,43.23466407010711
BEGUENT,55.47711781888997
BOISERA,24.367088607594937
BOVIDES,49.14216163583252
BACLAGE,76.56085686465433
BAFREUR,64.8442064264849
BRUIREZ,48.949367088607595
BLOGUER,39.949367088607595
BLOQUAT,63.94741966893866
BIANGLE,40.28724440116845
BRULAIS,19.17332035053554
BETYLES,57.62512171372931
BONDEES,35.12950340798442
BRACTEE,38.673807205452775
BOULOTE,55.43524829600779
BATIRAI,43.9396299902629
BOUILLE,49.65141187925998
BARDAIS,34.08958130477118
BETISAI,39.63875365141188
BLEUTAI,38.965920155793576
BIBLIOS,78.7555988315482
BOUDINS,36.79844206426485
BOUDEUR,72.81402142161636
BRADYPE,116.99610516066213
BAGAGES,73.21811100292113
BAISONS,34.99902629016553
BOESSES,87.67185978578384
BAVANTE,63.0
BAROLOS,38.422590068159685
BAGOUTS,34.69425511197663
BAVOCHE,120.78967867575463
BARETEZ,37.817916260954235
BENNANT,113.04381694255112
BRELLES,51.98344693281402
BATTEUR,36.40116845180136
BRELONS,30.028237585199612
BEURREZ,81.79259980525804
BEIGNET,43.242453748782864
BRISENT,21.64946445959104
BROSSES,61.08860759493671
BOUCANE,51.513145082765334
BECTEES,68.7205452775073
BOBEURS,42.1966893865628
BUSERAS,40.996105160662125
BORNAIS,22.178188899707887
BARBONS,37.518013631937684
BARBULE,37.67770204479065
BOLDUCS,62.902629016553064
BIQUETS,38.03115871470302
BIPEREZ,82.89873417721519
BEUGLER,54.64264849074976
BECHENT,106.61927945472249
BIPALES,39.36416747809153
BIOTOPE,74.23563777994158
BUSHIDO,73.05842259006816
BOUTRES,19.367088607594937
BOMBEES,66.94352482960078
BEGAYEZ,162.44011684518014
BOUSEUX,89.19084712755598
BUTOIRS,22.184031158714703
BALOISE,23.715676728334955
BAGGIES,44.02823758519961
BARISTA,26.14313534566699
BISQUAI,74.56572541382668
BRULONS,25.91236611489776
BORDIER,46.51509250243427
BELETTE,117.48490749756573
BRISONS,39.31548198636806
BRAIRAS,39.691333982473225
BUXACEE,91.61830574488802
BOURRAS,38.71275559883155
BAMBARA,174.41382667964947
BLOGUEZ,69.08666017526777
BOYCOTT,287.58325219084713
BANCALS,45.66601752677702
BRIQUET,30.47809152872444
BOUVIER,35.690360272638756
BRELLEE,97.20253164556962
BAISSAS,83.62025316455696
BADINAT,45.67185978578384
BAGUAIT,45.105160662122685
BAQUERA,55.67088607594937
BACLERA,52.9396299902629
BROKERS,64.7935735150925
BLUFFAS,92.4255111976631
BRISURE,30.472249269717626
BOUMEUR,83.67575462512171
BALOURD,39.34858812074002
BIDASSE,52.98831548198637
BOISENT,25.630963972736126
BEGALAS,52.24732229795521
BUVEURS,81.7273612463486
BITIONS,42.44985394352483
BARETAS,28.543330087633883
BRANDYS,67.33398247322297
BABILLE,69.68646543330088
BRELAIS,23.54722492697176
BALTONS,23.68354430379747
BRUTALE,20.360272638753653
BROCHET,55.36708860759494
BROSSAS,69.12463485881207
BIPAMES,59.332035053554044
BRONCAS,34.11489776046738
BLUFFAI,114.48101265822785
BACHATS,76.01947419668939
BALADEZ,75.58909444985395
BLOQUEZ,84.3904576436222
BRONZAS,35.56962025316456
BABORDS,50.804284323271666
BASIQUE,31.600778967867576
BALAIES,26.13242453748783
BRILLAS,37.11781888997079
BOSQUET,42.07887049659202
BURRITO,48.50925024342746
BARRANT,48.17332035053554
